t_s,distanceRight_mm,distanceLeft_mm
0.377,3313.2,3012.0
0.387,3313.2,3012.0
0.398,3313.2,3012.0
0.41,3313.2,3012.0
0.421,3313.2,3012.0
0.432,3313.2,3012.0
0.443,3313.2,3012.0
0.454,3313.2,3012.0
0.465,3313.2,3012.0
0.477,3313.2,3012.0
0.487,3313.2,3012.0
0.498,3313.2,3012.0
0.514,3313.2,3012.0
0.52,3313.2,3012.0
0.531,3313.2,3012.0
0.542,3313.2,3012.0
0.553,3313.2,3012.0
0.565,3313.2,3012.0
0.576,3313.2,3012.0
0.586,3313.2,3012.0
0.597,3313.2,3012.0
0.608,3313.2,3012.0
0.619,3313.2,3012.0
0.631,3313.2,3012.0
0.642,3313.2,3012.0
0.652,3313.2,3012.0
0.663,3313.2,3012.0
0.674,3313.2,3012.0
0.685,3313.2,3012.0
0.696,3313.2,3012.0
0.707,3313.2,3012.0
0.718,3313.2,3012.0
0.729,3313.2,3012.0
0.74,3313.2,3012.0
0.751,3313.2,3012.0
0.761,3313.2,3012.0
0.774,3313.2,3012.0
0.785,3313.2,3012.0
0.795,3313.2,3012.0
0.807,3313.2,3012.0
0.817,3313.2,3012.0
0.828,3313.2,3012.0
0.84,3313.2,3012.0
0.85,3313.2,3012.0
0.861,3313.2,3012.0
0.872,3313.2,3012.0
0.883,3313.2,3012.0
0.894,3313.2,3012.0
0.906,3313.2,3012.0
0.916,3313.2,3012.0
0.926,3313.2,3012.0
0.939,3313.2,3012.0
0.949,3313.2,3012.0
0.96,3313.2,3012.0
0.971,3313.2,3012.0
0.982,3313.2,3012.0
0.993,3313.2,3012.0
1.004,3313.2,3012.0
1.015,3313.2,3012.0
1.026,3313.2,3012.0
1.038,3313.2,3012.0
1.049,3313.2,3012.0
1.06,3313.2,3012.0
1.071,3313.2,3012.0
1.081,3313.2,3012.0
1.092,3313.2,3012.0
1.104,3313.2,3012.0
1.114,3313.2,3012.0
1.125,3313.2,3012.0
1.137,3313.2,3012.0
1.147,3313.2,3012.0
1.159,3313.2,3012.0
1.169,3313.2,3012.0
1.18,3313.2,3012.0
1.192,3313.2,3012.0
1.203,3313.2,3012.0
1.213,3313.2,3012.0
1.224,3313.2,3012.0
1.236,3313.2,3012.0
1.247,3313.2,3012.0
1.258,3313.2,3012.0
1.268,3313.2,3012.0
1.279,3313.2,3012.0
1.291,3313.2,3012.0
1.302,3313.2,3012.0
1.313,3313.2,3012.0
1.324,3313.2,3012.0
1.335,3313.2,3012.0
1.346,3313.2,3012.0
1.356,3313.2,3012.0
1.368,3313.2,3012.0
1.378,3313.2,3012.0
1.389,3313.2,3012.0
1.401,3313.2,3012.0
1.411,3313.2,3012.0
1.423,3313.2,3012.0
1.434,3313.2,3012.0
1.445,3313.2,3012.0
1.456,3313.2,3012.0
1.467,3313.2,3012.0
1.478,3313.2,3012.0
1.489,3313.2,3012.0
1.5,3313.2,3012.0
1.511,3313.2,3012.0
1.522,3313.2,3012.0
1.533,3313.2,3012.0
1.543,3313.2,3012.0
1.555,3313.2,3012.0
1.566,3313.2,3012.0
1.577,3313.2,3012.0
1.588,3313.2,3012.0
1.599,3313.2,3012.0
1.609,3313.2,3012.0
1.621,3313.2,3012.0
1.632,3313.2,3012.0
1.643,3313.2,3012.0
1.654,3313.2,3012.0
1.664,3313.2,3012.0
1.676,3313.2,3012.0
1.687,3313.2,3012.0
1.698,3313.2,3012.0
1.709,3313.2,3012.0
1.719,3313.2,3012.0
1.731,3313.2,3012.0
1.741,3313.2,3012.0
1.753,3313.2,3012.0
1.764,3313.2,3012.0
1.775,3313.2,3012.0
1.786,3313.2,3012.0
1.796,3313.2,3012.0
1.807,3313.2,3012.0
1.818,3313.2,3012.0
1.83,3313.2,3012.0
1.841,3313.2,3012.0
1.852,3313.2,3012.0
1.863,3313.2,3012.0
1.874,3313.2,3012.0
1.885,3313.2,3012.0
1.895,3313.2,3012.0
1.907,3313.2,3012.0
1.918,3313.2,3012.0
1.929,3313.2,3012.0
1.94,3313.2,3012.0
1.951,3313.2,3012.0
1.961,3313.2,3012.0
1.973,3313.2,3012.0
1.984,3313.2,3012.0
1.995,3313.2,3012.0
2.006,3313.2,3012.0
2.017,3313.2,3012.0
2.028,3313.2,3012.0
2.039,3313.2,3012.0
2.05,3313.2,3012.0
2.06,3313.2,3012.0
2.071,3313.2,3012.0
2.083,3313.2,3012.0
2.094,3313.2,3012.0
2.105,3313.2,3012.0
2.115,3313.2,3012.0
2.127,3313.2,3012.0
2.138,3313.2,3012.0
2.149,3313.2,3012.0
2.16,3313.2,3012.0
2.172,3313.2,3012.0
2.182,3313.2,3012.0
2.193,3313.2,3012.0
2.204,3313.2,3012.0
2.216,3313.2,3012.0
2.226,3313.2,3012.0
