t_s,distanceRight_mm,distanceLeft_mm
0.564,0.0,0.0
0.575,0.0,0.0
0.585,0.0,0.0
0.595,0.0,0.0
0.605,0.0,0.0
0.615,0.0,0.0
0.625,0.0,0.0
0.635,0.0,0.0
0.644,0.0,0.0
0.654,0.0,0.0
0.669,0.0,0.0
0.675,0.0,0.0
0.684,0.0,0.0
0.694,0.0,0.0
0.704,0.0,0.0
0.714,0.0,0.0
0.725,0.0,0.0
0.735,0.0,0.0
0.745,0.0,0.0
0.754,0.0,0.0
0.764,0.0,0.0
0.775,0.0,0.0
0.786,0.0,0.0
0.795,0.0,0.0
0.805,0.0,0.0
0.815,0.0,0.0
0.825,0.0,0.0
0.835,0.0,0.0
0.845,0.0,0.0
0.855,0.0,0.0
0.865,0.0,0.0
0.875,0.0,0.0
0.885,0.0,0.0
0.895,0.0,0.0
0.905,0.0,0.0
0.922,0.0,0.0
0.931,0.0,0.0
0.935,0.0,0.0
0.945,0.0,0.0
0.955,0.0,0.0
0.966,0.0,0.0
0.975,0.0,0.0
0.985,0.0,0.0
0.995,0.0,0.0
1.005,0.0,0.0
1.015,0.0,0.0
1.025,0.0,0.0
1.035,0.0,0.0
1.045,0.0,0.0
1.055,0.0,0.0
1.065,0.0,0.0
1.075,0.0,0.0
1.085,0.0,0.0
1.095,0.0,0.0
1.105,0.0,0.0
1.115,0.0,0.0
1.125,0.0,0.0
1.135,0.0,0.0
1.145,0.0,0.0
1.155,0.0,0.0
1.165,0.0,0.0
1.175,0.0,0.0
1.185,0.0,0.0
1.195,0.0,0.0
1.205,0.0,0.0
1.215,0.0,0.0
1.225,0.0,0.0
1.235,0.0,0.0
1.245,0.0,0.0
1.255,0.0,0.0
1.265,0.0,0.0
1.275,0.0,0.0
1.285,0.0,0.0
1.295,0.0,0.0
1.305,0.0,0.0
1.315,0.0,0.0
1.325,0.0,0.0
1.335,0.0,0.0
1.345,0.0,0.0
1.355,0.0,0.0
1.365,0.0,0.0
1.375,0.0,0.0
1.385,0.0,0.0
1.395,0.0,0.0
1.405,0.0,0.0
1.415,0.0,0.0
1.426,0.0,0.0
1.435,0.0,0.0
1.445,0.0,0.0
1.455,0.0,0.0
1.465,0.0,0.0
1.476,0.0,0.0
1.486,0.0,0.0
1.495,0.0,0.0
1.505,0.0,0.0
1.515,0.0,0.0
1.526,0.0,0.0
1.535,0.0,0.0
1.545,0.0,0.0
1.556,0.0,0.0
1.565,0.0,0.0
1.575,0.0,0.0
1.585,0.0,0.0
1.595,0.0,0.0
1.605,0.0,0.0
1.615,0.0,0.0
1.625,0.0,0.0
1.635,0.0,0.0
1.645,0.0,0.0
1.655,0.0,0.0
1.665,0.0,0.0
1.675,0.0,0.0
1.686,0.0,0.0
1.696,0.0,0.0
1.706,0.0,0.0
1.715,0.0,0.0
1.725,0.0,0.0
1.735,0.0,0.0
1.745,0.0,0.0
1.756,0.0,0.0
1.765,0.0,0.0
1.775,0.0,0.0
1.785,0.0,0.0
1.795,0.0,0.0
1.806,0.0,0.0
1.816,0.0,0.0
1.826,0.0,0.0
1.836,0.0,0.0
1.846,0.0,0.0
1.856,0.0,0.0
1.865,0.0,0.0
1.875,0.0,0.0
1.886,0.0,0.0
1.896,0.0,0.0
1.906,0.0,0.0
1.916,0.0,0.0
1.926,0.0,0.0
1.936,0.0,0.0
1.946,0.0,0.0
1.956,0.0,0.0
1.966,0.0,0.0
1.976,0.0,0.0
1.985,0.0,0.0
1.996,0.0,0.0
2.006,0.0,0.0
2.016,0.0,0.0
2.026,0.0,0.0
2.036,0.0,0.0
2.046,0.0,0.0
2.056,0.0,0.0
2.066,0.0,0.0
2.075,0.0,0.0
2.085,0.0,0.0
2.095,0.0,0.0
2.105,0.0,0.0
2.116,0.0,0.0
2.126,0.0,0.0
2.136,0.0,0.0
2.146,0.0,0.0
2.156,0.0,0.0
2.165,0.0,0.0
2.176,0.0,0.0
2.186,0.0,0.0
2.196,0.0,0.0
2.206,0.0,0.0
2.216,0.0,0.0
2.226,0.0,0.0
2.236,0.0,0.0
2.246,0.0,0.0
2.256,0.0,0.0
2.266,0.0,0.0
2.275,0.0,0.0
2.285,0.0,0.0
2.296,0.0,0.0
2.305,0.0,0.0
2.315,0.0,0.0
2.325,0.0,0.0
2.335,0.0,0.0
2.346,0.0,0.0
2.356,0.0,0.0
2.366,0.0,0.0
2.376,0.0,0.0
2.386,0.0,0.0
2.396,0.0,0.0
2.406,0.0,0.0
2.416,0.0,0.0
2.427,0.0,0.0
2.436,0.0,0.0
2.446,0.0,0.0
2.456,0.0,0.0
2.466,0.0,0.0
2.476,0.0,0.0
2.486,0.0,0.0
2.496,0.0,0.0
2.506,0.0,0.0
2.516,0.0,0.0
2.526,0.0,0.0
2.536,0.0,0.0
2.546,0.0,0.0
2.556,0.0,0.0
2.566,0.0,0.0
2.577,0.0,0.0
2.587,0.0,0.0
2.597,0.0,0.0
2.607,0.0,0.0
2.616,0.0,0.0
2.626,0.0,0.0
2.637,0.0,0.0
2.647,0.0,0.0
2.657,0.0,0.0
2.666,0.0,0.0
2.677,0.0,0.0
2.686,0.0,0.0
2.696,0.0,0.0
2.707,0.0,0.0
2.716,0.0,0.0
2.726,0.0,0.0
2.736,0.0,0.0
2.746,0.0,0.0
2.756,0.0,0.0
2.767,0.0,0.0
2.776,0.0,0.0
2.787,0.0,0.0
2.797,0.0,0.0
2.807,0.0,0.0
2.817,0.0,0.0
2.827,0.0,0.0
2.837,0.0,0.0
2.847,0.0,0.0
2.856,0.0,0.0
2.866,0.0,0.0
2.876,0.0,0.0
2.886,0.0,0.0
2.897,0.0,0.0
2.906,0.0,0.0
2.916,0.0,0.0
2.926,0.0,0.0
2.936,0.0,0.0
2.946,0.0,0.0
2.956,0.0,0.0
2.966,0.0,0.0
2.976,0.0,0.0
2.986,0.0,0.0
2.997,0.0,0.0
3.007,0.0,0.0
3.017,0.0,0.0
3.027,0.0,0.0
3.037,0.0,0.0
3.047,0.0,0.0
3.057,0.0,0.0
3.067,0.0,0.0
3.077,0.0,0.0
3.086,0.0,0.0
3.097,0.0,0.0
3.107,0.0,0.0
3.117,0.0,0.0
3.127,0.0,0.0
3.137,0.0,0.0
3.147,0.0,0.0
3.157,0.0,0.0
3.166,0.0,0.0
3.177,0.0,0.0
3.187,0.0,0.0
3.197,0.0,0.0
3.207,0.0,0.0
3.216,0.0,0.0
3.227,0.0,0.0
3.237,0.0,0.0
3.247,0.0,0.0
3.257,0.0,0.0
3.266,0.0,0.0
3.277,0.0,0.0
3.287,0.0,0.0
3.297,0.0,0.0
3.307,0.0,0.0
3.317,0.0,0.0
3.327,0.0,0.0
3.337,0.0,0.0
3.347,0.0,0.0
3.357,0.0,0.0
3.367,0.0,0.0
3.377,0.0,0.0
3.387,0.0,0.0
3.397,0.0,0.0
3.407,0.0,0.0
3.417,0.0,0.0
3.427,0.0,0.0
3.437,0.0,0.0
3.447,0.0,0.0
3.457,0.0,0.0
3.467,0.0,0.0
3.477,0.0,0.0
3.487,0.0,0.0
3.497,0.0,0.0
3.507,0.0,0.0
3.517,0.0,0.0
3.527,0.0,0.0
3.537,0.0,0.0
3.547,0.0,0.0
3.557,0.0,0.0
3.567,0.0,0.0
3.577,0.0,0.0
3.587,0.0,0.0
3.597,0.0,0.0
3.607,0.0,0.0
3.617,0.0,0.0
3.627,0.0,0.0
3.637,0.0,0.0
3.647,0.0,0.0
3.657,0.0,0.0
3.667,0.0,0.0
3.677,0.0,0.0
3.687,0.0,0.0
3.697,0.0,0.0
3.707,0.0,0.0
3.717,0.0,0.0
3.727,0.0,0.0
3.738,0.0,0.0
3.747,0.0,0.0
3.758,0.0,0.0
3.767,0.0,0.0
3.778,0.0,0.0
3.787,0.0,0.0
3.797,0.0,0.0
3.808,0.0,0.0
3.817,0.0,0.0
3.828,0.0,0.0
3.838,0.0,0.0
3.847,0.0,0.0
3.858,0.0,0.0
3.867,0.0,0.0
3.878,0.0,0.0
3.888,0.0,0.0
3.897,0.0,0.0
3.907,0.0,0.0
3.917,0.0,0.0
3.927,0.0,0.0
3.938,0.0,0.0
3.947,0.0,0.0
3.958,0.0,0.0
3.968,0.0,0.0
3.978,0.0,0.0
3.988,0.0,0.0
3.997,0.0,0.0
4.008,0.0,0.0
4.018,0.0,0.0
4.028,0.0,0.0
4.038,0.0,0.0
4.048,0.0,0.0
4.058,0.0,0.0
4.067,0.0,0.0
4.077,0.0,0.0
4.088,0.0,0.0
4.097,0.0,0.0
4.108,0.0,0.0
4.117,0.0,0.0
4.128,0.0,0.0
4.138,0.0,0.0
4.148,0.0,0.0
4.157,0.0,0.0
4.167,0.0,0.0
4.178,0.0,0.0
4.187,0.0,0.0
4.197,0.0,0.0
4.208,0.0,0.0
4.218,0.0,0.0
4.228,0.0,0.0
4.238,0.0,0.0
4.248,0.0,0.0
4.258,0.0,0.0
4.268,0.0,0.0
4.277,0.0,0.0
4.288,0.0,0.0
4.298,0.0,0.0
4.308,0.0,0.0
4.318,0.0,0.0
4.328,0.0,0.0
4.337,0.0,0.0
4.347,0.0,0.0
4.357,0.0,0.0
4.367,0.0,0.0
4.378,0.0,0.0
4.388,0.0,0.0
4.398,0.0,0.0
4.408,0.0,0.0
4.418,0.0,0.0
4.428,0.0,0.0
4.438,0.0,0.0
4.448,0.0,0.0
4.458,0.0,0.0
4.468,0.0,0.0
4.478,0.0,0.0
4.487,0.0,0.0
4.497,0.0,0.0
4.507,0.0,0.0
4.517,0.0,0.0
4.527,0.0,0.0
4.538,0.0,0.0
4.548,0.0,0.0
4.557,0.0,0.0
4.568,0.0,0.0
4.578,0.0,0.0
4.587,0.0,0.0
4.598,0.0,0.0
4.608,0.0,0.0
4.618,0.0,0.0
4.628,0.0,0.0
4.638,0.0,0.0
4.648,5.0,0.0
4.658,5.0,5.0
4.668,5.0,5.0
4.678,5.0,10.0
4.688,10.0,10.0
4.698,10.0,10.0
4.707,10.0,10.0
4.718,10.0,10.0
4.728,10.0,10.0
4.738,15.0,15.0
4.748,15.0,15.0
4.758,20.0,20.0
4.768,20.0,20.0
4.779,20.0,20.0
4.788,20.0,20.0
4.798,25.0,25.0
4.808,25.0,25.0
4.818,30.0,30.0
4.828,30.0,30.0
4.839,30.0,30.0
4.848,35.0,35.0
4.858,35.0,35.0
4.868,40.0,40.0
4.878,40.0,40.0
4.888,45.0,40.0
4.898,45.0,45.0
4.909,50.0,50.0
4.918,50.0,50.0
4.928,50.0,50.0
4.938,55.0,55.0
4.948,60.0,55.0
4.959,60.0,60.0
4.968,60.0,60.0
4.978,65.0,65.0
4.988,70.0,65.0
4.998,70.0,70.0
5.008,70.0,70.0
5.018,75.0,75.0
5.028,80.0,75.0
5.038,80.0,80.0
5.048,80.0,80.0
5.059,85.0,85.0
5.069,90.0,90.0
5.078,90.0,90.0
5.089,95.0,90.0
5.098,95.0,95.0
5.108,100.0,100.0
5.118,100.0,100.0
5.128,105.0,100.0
5.138,105.0,105.0
5.149,110.0,110.0
5.158,110.0,110.0
5.168,115.0,115.0
5.178,120.0,115.0
5.189,120.0,120.0
5.197,125.0,120.0
5.209,125.0,125.0
5.219,130.0,130.0
5.229,130.0,130.0
5.239,135.0,130.0
5.247,135.0,135.0
5.259,140.0,140.0
5.269,140.0,140.0
5.278,145.0,145.0
5.285,150.0,150.0
5.298,150.0,150.0
5.308,155.0,150.0
5.319,155.0,155.0
5.329,160.0,160.0
5.339,160.0,160.0
5.348,165.0,160.0
5.359,170.0,165.0
5.369,170.0,170.0
5.379,175.0,170.0
5.388,175.0,175.0
5.397,180.0,180.0
5.409,180.0,180.0
5.419,185.0,180.0
5.429,185.0,185.0
5.44,190.0,190.0
5.448,190.0,190.0
5.459,195.0,190.0
5.469,200.0,195.0
5.479,200.0,200.0
5.49,200.0,200.0
5.499,205.0,200.0
5.51,210.0,205.0
5.52,210.0,210.0
5.53,215.0,210.0
5.54,215.0,210.0
5.548,220.0,215.0
5.56,220.0,220.0
5.57,225.0,220.0
5.579,225.0,220.0
5.59,230.0,225.0
5.599,230.0,230.0
5.609,235.0,230.0
5.619,240.0,235.0
5.629,240.0,240.0
5.639,245.0,240.0
