t_s,distanceRight_mm,distanceLeft_mm
0.412,0.0,0.0
0.422,0.0,0.0
0.432,0.0,0.0
0.441,0.0,0.0
0.447,0.0,0.0
0.462,0.0,0.0
0.476,0.0,0.0
0.48,0.0,0.0
0.493,0.0,0.0
0.502,0.0,0.0
0.51,0.0,0.0
0.526,0.0,0.0
0.533,0.0,0.0
0.542,0.0,0.0
0.552,0.0,0.0
0.556,0.0,0.0
0.567,0.0,0.0
0.574,0.0,0.0
0.592,0.0,0.0
0.6,0.0,0.0
0.613,0.0,0.0
0.616,0.0,0.0
0.632,0.0,0.0
0.643,0.0,0.0
0.652,0.0,0.0
0.662,0.0,0.0
0.671,0.0,0.0
0.683,0.0,0.0
0.692,0.0,0.0
0.702,0.0,0.0
0.713,0.0,0.0
0.723,0.0,0.0
0.732,0.0,0.0
0.742,0.0,0.0
0.752,0.0,0.0
0.763,0.0,0.0
0.773,0.0,0.0
0.782,0.0,0.0
0.792,0.0,0.0
0.802,0.0,0.0
0.813,0.0,0.0
0.821,0.0,0.0
0.832,0.0,0.0
0.843,0.0,0.0
0.853,0.0,0.0
0.862,0.0,0.0
0.871,0.0,0.0
0.876,0.0,0.0
0.892,0.0,0.0
0.903,0.0,0.0
0.912,0.0,0.0
0.923,0.0,0.0
0.933,0.0,0.0
0.942,0.0,0.0
0.944,0.0,0.0
0.953,0.0,0.0
0.969,0.0,0.0
0.978,0.0,0.0
0.993,0.0,0.0
1.003,0.0,0.0
1.012,0.0,0.0
1.023,0.0,0.0
1.033,0.0,0.0
1.043,0.0,0.0
1.053,0.0,0.0
1.063,0.0,0.0
1.073,0.0,0.0
1.083,0.0,0.0
1.093,0.0,0.0
1.103,0.0,0.0
1.113,0.0,0.0
1.123,0.0,0.0
1.133,0.0,0.0
1.143,0.0,0.0
1.153,0.0,0.0
1.162,0.0,0.0
1.173,0.0,0.0
1.183,0.0,0.0
1.193,0.0,0.0
1.202,0.0,0.0
1.213,0.0,0.0
1.223,0.0,0.0
1.233,0.0,0.0
1.243,0.0,0.0
1.253,0.0,0.0
1.263,0.0,0.0
1.273,0.0,0.0
1.282,0.0,0.0
1.293,0.0,0.0
1.298,0.0,0.0
1.313,0.0,0.0
1.324,0.0,0.0
1.33,0.0,0.0
1.343,0.0,0.0
1.353,0.0,0.0
1.361,0.0,0.0
1.373,0.0,0.0
1.383,5.0,0.0
1.393,5.0,5.0
1.403,5.0,5.0
1.413,5.0,5.0
1.423,5.0,5.0
1.433,5.0,5.0
1.443,10.0,5.0
1.454,10.0,10.0
1.463,10.0,10.0
1.473,15.0,15.0
1.483,15.0,15.0
1.493,15.0,15.0
1.503,20.0,15.0
1.512,20.0,20.0
1.523,20.0,25.0
1.534,25.0,25.0
1.543,25.0,25.0
1.548,25.0,25.0
1.563,30.0,30.0
1.574,30.0,30.0
1.583,35.0,35.0
1.593,35.0,35.0
1.603,40.0,35.0
1.614,40.0,40.0
1.623,45.0,45.0
1.632,45.0,45.0
1.643,45.0,45.0
1.654,50.0,50.0
1.664,50.0,50.0
1.673,55.0,55.0
1.683,55.0,55.0
1.694,60.0,55.0
1.704,60.0,60.0
1.714,65.0,65.0
1.724,65.0,65.0
1.733,70.0,65.0
1.744,70.0,70.0
1.753,75.0,75.0
1.764,75.0,75.0
1.774,80.0,75.0
1.783,80.0,80.0
1.794,85.0,85.0
1.804,85.0,85.0
1.814,90.0,85.0
1.821,90.0,90.0
1.833,95.0,95.0
1.844,95.0,95.0
1.854,100.0,95.0
1.864,100.0,100.0
1.874,105.0,105.0
1.883,105.0,105.0
1.893,110.0,105.0
1.9,110.0,110.0
1.914,115.0,115.0
1.924,115.0,115.0
1.933,120.0,115.0
1.933,120.0,120.0
1.953,125.0,125.0
1.964,125.0,125.0
1.974,130.0,125.0
1.983,130.0,130.0
1.994,135.0,135.0
2.004,135.0,135.0
2.014,140.0,135.0
2.024,145.0,140.0
2.033,145.0,145.0
2.044,145.0,145.0
2.054,150.0,145.0
2.054,155.0,150.0
2.074,155.0,155.0
2.083,155.0,155.0
2.094,160.0,155.0
2.104,165.0,160.0
2.114,165.0,165.0
2.124,170.0,165.0
2.133,170.0,170.0
2.143,175.0,175.0
2.154,175.0,175.0
2.162,180.0,175.0
2.166,180.0,180.0
2.182,185.0,185.0
2.194,185.0,185.0
2.205,190.0,185.0
2.214,195.0,190.0
2.224,195.0,195.0
2.234,195.0,195.0
2.244,200.0,200.0
2.254,205.0,205.0
2.264,205.0,205.0
2.273,210.0,205.0
2.284,210.0,210.0
2.294,215.0,215.0
2.304,215.0,215.0
2.314,220.0,220.0
2.323,220.0,220.0
2.334,225.0,225.0
2.345,225.0,225.0
2.354,230.0,230.0
2.364,235.0,235.0
2.373,235.0,235.0
2.383,235.0,235.0
2.394,240.0,240.0
2.404,245.0,245.0
2.415,245.0,245.0
2.424,250.0,245.0
2.434,250.0,250.0
2.443,255.0,255.0
2.454,255.0,255.0
2.465,260.0,255.0
2.474,260.0,260.0
2.484,265.0,265.0
2.493,265.0,265.0
2.505,270.0,270.0
2.514,275.0,270.0
2.524,275.0,275.0
2.53,275.0,275.0
2.54,280.0,280.0
2.54,285.0,285.0
